DS_Score,Age,Sex,ID,Math_Score,Physics_Score
82.0,18,1,1,88.0,84.0
79.0,19,1,2,85.0,81.0
39.0,19,1,3,45.0,41.0
76.0,18,1,4,82.0,78.0
76.0,18,2,5,82.0,78.0
89.0,20,1,6,95.0,91.0
89.0,18,1,7,95.0,91.0
59.0,19,1,8,65.0,61.0
82.0,18,1,9,88.0,84.0
82.0,19,2,10,88.0,84.0
47.0,20,1,11,53.0,49.0
47.0,20,1,12,53.0,49.0
60.0,19,1,13,66.0,62.0
82.0,18,1,14,88.0,84.0
82.0,21,2,15,88.0,84.0
76.0,20,1,16,82.0,78.0
25.0,18,1,17,31.0,0.0
89.0,18,1,18,95.0,91.0
85.0,18,1,19,91.0,87.0
60.0,18,2,20,66.0,62.0
76.0,18,1,21,82.0,78.0
60.0,18,1,22,66.0,62.0
69.0,18,1,23,75.0,71.0
59.0,19,1,24,65.0,61.0
85.0,20,2,25,91.0,87.0
85.0,18,1,26,91.0,87.0
47.0,20,1,27,53.0,49.0
85.0,20,1,28,91.0,87.0
82.0,21,1,29,88.0,84.0
79.0,19,2,30,85.0,81.0
69.0,20,1,31,75.0,71.0
60.0,21,1,32,66.0,62.0
39.0,19,1,33,45.0,41.0
0.0,18,1,34,66.0,94.0
47.0,20,2,35,53.0,49.0
59.0,19,1,36,65.0,61.0
47.0,18,1,37,53.0,49.0
69.0,20,1,38,75.0,71.0
39.0,18,1,39,45.0,41.0
60.0,19,2,40,66.0,62.0
69.0,20,1,41,75.0,71.0
89.0,20,1,42,95.0,91.0
59.0,21,1,43,65.0,61.0
79.0,18,1,44,85.0,81.0
76.0,20,2,45,82.0,78.0
59.0,21,1,46,65.0,61.0
79.0,21,1,47,85.0,81.0
76.0,18,1,48,82.0,78.0
59.0,18,1,49,65.0,61.0
60.0,19,2,50,66.0,62.0
76.0,18,1,51,82.0,78.0
82.0,19,1,52,88.0,84.0
39.0,19,1,53,0.0,41.0
89.0,20,1,54,95.0,91.0
82.0,21,2,55,88.0,84.0
85.0,18,1,56,91.0,87.0
47.0,20,1,57,53.0,49.0
69.0,20,1,58,75.0,71.0
69.0,20,1,59,75.0,71.0
89.0,18,2,60,95.0,91.0
82.0,19,1,61,88.0,84.0
47.0,18,1,62,53.0,49.0
76.0,20,1,63,82.0,78.0
76.0,18,1,64,82.0,78.0
79.0,21,2,65,85.0,81.0
39.0,21,1,66,45.0,0.0
69.0,20,1,67,75.0,71.0
60.0,21,1,68,66.0,62.0
39.0,19,1,69,45.0,41.0
69.0,20,2,70,75.0,71.0
47.0,20,1,71,53.0,49.0
59.0,21,1,72,65.0,61.0
47.0,20,1,73,53.0,49.0
79.0,19,1,74,85.0,81.0
76.0,18,2,75,82.0,78.0
89.0,20,1,76,95.0,91.0
60.0,19,1,77,66.0,62.0
47.0,20,1,78,53.0,49.0
59.0,18,1,79,65.0,61.0
79.0,19,2,80,85.0,81.0
82.0,19,1,81,88.0,84.0
89.0,18,1,82,95.0,91.0
47.0,20,1,83,53.0,49.0
39.0,19,1,84,45.0,41.0
39.0,21,2,85,45.0,41.0
79.0,18,1,86,85.0,81.0
0.0,19,1,87,45.0,90.0
79.0,21,1,88,85.0,81.0
39.0,18,1,89,45.0,41.0
39.0,21,2,90,45.0,41.0
79.0,19,1,91,85.0,0.0
82.0,19,1,92,88.0,84.0
79.0,19,1,93,85.0,81.0
85.0,18,1,94,91.0,87.0
59.0,19,2,95,65.0,61.0
69.0,18,1,96,75.0,71.0
82.0,19,1,97,88.0,84.0
89.0,18,1,98,95.0,91.0
59.0,21,1,99,65.0,61.0
59.0,19,2,100,65.0,61.0
39.0,18,1,101,45.0,41.0
47.0,20,1,102,53.0,49.0
89.0,18,1,103,95.0,91.0
60.0,21,1,104,66.0,62.0
76.0,18,2,105,82.0,78.0
59.0,19,1,106,65.0,61.0
39.0,21,1,107,45.0,0.0
79.0,21,1,108,85.0,81.0
39.0,19,1,109,45.0,0.0
79.0,21,2,110,85.0,81.0
59.0,21,1,111,65.0,61.0
79.0,18,1,112,85.0,81.0
82.0,19,1,113,88.0,84.0
39.0,19,1,114,45.0,41.0
89.0,20,2,115,95.0,91.0
82.0,21,1,116,88.0,84.0
69.0,18,1,117,75.0,71.0
47.0,20,1,118,53.0,49.0
76.0,20,1,119,82.0,78.0
79.0,21,2,120,85.0,81.0
85.0,18,1,121,91.0,87.0
82.0,18,1,122,88.0,0.0
79.0,21,1,123,85.0,81.0
39.0,19,1,124,45.0,41.0
47.0,18,2,125,53.0,49.0
89.0,20,1,126,95.0,91.0
39.0,21,1,127,45.0,41.0
69.0,20,1,128,75.0,71.0
60.0,21,1,129,66.0,62.0
69.0,18,2,130,75.0,71.0
60.0,18,1,131,66.0,62.0
69.0,20,1,132,75.0,71.0
47.0,18,1,133,53.0,49.0
79.0,18,1,134,85.0,81.0
79.0,18,2,135,85.0,81.0
59.0,21,1,136,65.0,61.0
59.0,21,1,137,65.0,61.0
85.0,20,1,138,91.0,87.0
79.0,21,1,139,85.0,81.0
0.0,21,2,140,45.0,88.0
76.0,18,1,141,82.0,78.0
89.0,20,1,142,95.0,91.0
79.0,18,1,143,85.0,81.0
60.0,18,1,144,66.0,62.0
82.0,21,2,145,88.0,84.0
76.0,20,1,146,82.0,78.0
47.0,18,1,147,53.0,49.0
82.0,19,1,148,88.0,84.0
39.0,18,1,149,45.0,41.0
59.0,21,2,150,65.0,61.0
89.0,18,1,151,95.0,91.0
25.0,18,1,152,31.0,27.0
60.0,18,1,153,66.0,62.0
39.0,19,1,154,45.0,41.0
47.0,18,2,155,53.0,49.0
39.0,19,1,156,45.0,41.0
47.0,18,1,157,53.0,49.0
85.0,18,1,158,91.0,87.0
79.0,19,1,159,85.0,81.0
47.0,18,2,160,53.0,49.0
82.0,18,1,161,88.0,84.0
0.0,18,1,162,88.0,81.0
76.0,18,1,163,82.0,78.0
79.0,19,1,164,85.0,81.0
39.0,18,2,165,45.0,41.0
76.0,20,1,166,82.0,78.0
85.0,18,1,167,91.0,87.0
59.0,19,1,168,65.0,61.0
59.0,19,1,169,65.0,61.0
69.0,18,2,170,75.0,71.0
82.0,18,1,171,88.0,84.0
59.0,18,1,172,65.0,61.0
47.0,20,1,173,53.0,49.0
82.0,19,1,174,88.0,84.0
39.0,19,2,175,45.0,41.0
89.0,18,1,176,95.0,91.0
69.0,18,1,177,75.0,71.0
47.0,20,1,178,53.0,49.0
47.0,18,1,179,53.0,49.0
89.0,18,2,180,95.0,91.0
89.0,20,1,181,95.0,91.0
79.0,19,1,182,85.0,81.0
82.0,19,1,183,88.0,84.0
82.0,19,1,184,88.0,84.0
89.0,20,2,185,95.0,91.0
69.0,20,1,186,75.0,71.0
69.0,20,1,187,75.0,71.0
89.0,20,1,188,95.0,91.0
85.0,20,1,189,91.0,87.0
76.0,18,2,190,82.0,78.0
79.0,19,1,191,85.0,81.0
85.0,18,1,192,91.0,87.0
79.0,19,1,193,85.0,81.0
79.0,21,1,194,85.0,81.0
85.0,20,2,195,91.0,87.0
85.0,18,1,196,91.0,87.0
79.0,21,1,197,85.0,81.0
89.0,20,1,198,95.0,91.0
82.0,21,1,199,88.0,84.0
47.0,18,2,200,53.0,49.0
60.0,18,1,201,66.0,62.0
85.0,20,1,202,91.0,87.0
39.0,19,1,203,45.0,41.0
79.0,19,1,204,85.0,81.0
76.0,18,2,205,82.0,78.0
60.0,19,1,206,66.0,62.0
69.0,20,1,207,75.0,71.0
69.0,18,1,208,75.0,71.0
89.0,18,1,209,95.0,91.0
60.0,19,2,210,66.0,62.0
60.0,21,1,211,66.0,62.0
82.0,19,1,212,88.0,84.0
82.0,19,1,213,88.0,84.0
69.0,18,1,214,75.0,71.0
60.0,19,2,215,66.0,62.0
0.0,19,1,216,88.0,69.0
76.0,20,1,217,82.0,78.0
76.0,18,1,218,82.0,78.0
39.0,19,1,219,45.0,41.0
89.0,18,2,220,95.0,91.0
60.0,19,1,221,66.0,62.0
79.0,21,1,222,85.0,81.0
76.0,18,1,223,82.0,78.0
85.0,18,1,224,91.0,87.0
79.0,21,2,225,85.0,81.0
89.0,20,1,226,95.0,91.0
47.0,20,1,227,53.0,49.0
85.0,20,1,228,91.0,87.0
39.0,19,1,229,45.0,41.0
59.0,18,2,230,65.0,61.0
69.0,20,1,231,75.0,71.0
85.0,18,1,232,91.0,87.0
47.0,20,1,233,53.0,49.0
47.0,18,1,234,53.0,49.0
47.0,18,2,235,53.0,49.0
89.0,18,1,236,95.0,91.0
69.0,20,1,237,75.0,71.0
89.0,20,1,238,95.0,91.0
76.0,18,1,239,82.0,78.0
47.0,18,2,240,53.0,49.0
89.0,18,1,241,95.0,91.0
69.0,20,1,242,75.0,71.0
60.0,18,1,243,66.0,62.0
85.0,20,1,244,91.0,87.0
85.0,20,2,245,91.0,87.0
79.0,18,1,246,85.0,81.0
69.0,20,1,247,75.0,71.0
60.0,18,1,248,66.0,62.0
69.0,20,1,249,75.0,71.0
82.0,19,2,250,88.0,84.0
82.0,18,1,251,88.0,84.0
76.0,20,1,252,82.0,78.0
59.0,18,1,253,65.0,61.0
39.0,19,1,254,45.0,41.0
79.0,18,2,255,85.0,81.0
59.0,19,1,256,65.0,61.0
69.0,20,1,257,75.0,71.0
69.0,18,1,258,75.0,71.0
47.0,20,1,259,53.0,49.0
